run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,configname,DADCA_ACK_n20_u8_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,datetime,20240121-15:52:45,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,experiment,DADCA_ACK_n20_u8_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,iterationvars,"$numFailuresUAV1=0, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,iterationvarsf,"numFailuresUAV1=0,failureDuration=36000s-",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,measurement,"$numFailuresUAV1=0, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,network,DADCA_ACK_n20_u8_a8000m2_0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,processid,9100,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,runnumber,1,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,runattr,,,seedset,1,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,itervar,,,failureDuration,36000s,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,itervar,,,numFailuresUAV1,0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.numUAVs,8,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_1.mobility.initialLatitude,-15.81720683deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_1.mobility.initialLongitude,-47.92585532deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_2.mobility.initialLatitude,-15.80865940deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_2.mobility.initialLongitude,-47.92654023deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_3.mobility.initialLatitude,-15.80527555deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_3.mobility.initialLongitude,-47.92590388deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_4.mobility.initialLatitude,-15.80207010deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_4.mobility.initialLongitude,-47.92562827deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_5.mobility.initialLatitude,-15.79660920deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_5.mobility.initialLongitude,-47.92657704deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_6.mobility.initialLatitude,-15.83416525deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_6.mobility.initialLongitude,-47.92401400deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_7.mobility.initialLatitude,-15.82897886deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_7.mobility.initialLongitude,-47.92348536deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_8.mobility.initialLatitude,-15.82047352deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_8.mobility.initialLongitude,-47.92395109deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_9.mobility.initialLatitude,-15.81466641deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_9.mobility.initialLongitude,-47.92333821deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_10.mobility.initialLatitude,-15.80987422deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_10.mobility.initialLongitude,-47.92333092deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_11.mobility.initialLatitude,-15.80420667deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_11.mobility.initialLongitude,-47.92218664deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_12.mobility.initialLatitude,-15.79907617deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_12.mobility.initialLongitude,-47.92384669deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_13.mobility.initialLatitude,-15.79088733deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_13.mobility.initialLongitude,-47.92425192deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_14.mobility.initialLatitude,-15.78654904deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_14.mobility.initialLongitude,-47.92306637deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_15.mobility.initialLatitude,-15.83581338deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_15.mobility.initialLongitude,-47.91995687deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_16.mobility.initialLatitude,-15.83183308deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_16.mobility.initialLongitude,-47.91978906deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_17.mobility.initialLatitude,-15.81811175deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_17.mobility.initialLongitude,-47.92168146deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_18.mobility.initialLatitude,-15.80869138deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_18.mobility.initialLongitude,-47.92022924deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_19.mobility.initialLatitude,-15.80013206deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_19.mobility.initialLongitude,-47.91996991deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_20.mobility.initialLatitude,-15.79400183deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors_20.mobility.initialLongitude,-47.92080110deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.sensors*.app[0].destAddresses,"""quads[0] quads[1] quads[2] quads[3] quads[4] quads[5] quads[6] quads[7]""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.groundStation.app[0].destAddresses,"""quads[0] quads[1] quads[2] quads[3] quads[4] quads[5] quads[6] quads[7]""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.quads[0].app[0].destAddresses,"""quads[1] quads[2] quads[3] quads[4] quads[5] quads[6] quads[7] sensors_1 sensors_2 sensors_3 sensors_4 sensors_5 sensors_6 sensors_7 sensors_8 sensors_9 sensors_10 sensors_11 sensors_12 sensors_13 sensors_14 sensors_15 sensors_16 sensors_17 sensors_18 sensors_19 sensors_20 groundStation""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.quads[1].app[0].destAddresses,"""quads[0] quads[2] quads[3] quads[4] quads[5] quads[6] quads[7] sensors_1 sensors_2 sensors_3 sensors_4 sensors_5 sensors_6 sensors_7 sensors_8 sensors_9 sensors_10 sensors_11 sensors_12 sensors_13 sensors_14 sensors_15 sensors_16 sensors_17 sensors_18 sensors_19 sensors_20 groundStation""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.quads[2].app[0].destAddresses,"""quads[0] quads[1] quads[3] quads[4] quads[5] quads[6] quads[7] sensors_1 sensors_2 sensors_3 sensors_4 sensors_5 sensors_6 sensors_7 sensors_8 sensors_9 sensors_10 sensors_11 sensors_12 sensors_13 sensors_14 sensors_15 sensors_16 sensors_17 sensors_18 sensors_19 sensors_20 groundStation""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.quads[3].app[0].destAddresses,"""quads[0] quads[1] quads[2] quads[4] quads[5] quads[6] quads[7] sensors_1 sensors_2 sensors_3 sensors_4 sensors_5 sensors_6 sensors_7 sensors_8 sensors_9 sensors_10 sensors_11 sensors_12 sensors_13 sensors_14 sensors_15 sensors_16 sensors_17 sensors_18 sensors_19 sensors_20 groundStation""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.quads[4].app[0].destAddresses,"""quads[0] quads[1] quads[2] quads[3] quads[5] quads[6] quads[7] sensors_1 sensors_2 sensors_3 sensors_4 sensors_5 sensors_6 sensors_7 sensors_8 sensors_9 sensors_10 sensors_11 sensors_12 sensors_13 sensors_14 sensors_15 sensors_16 sensors_17 sensors_18 sensors_19 sensors_20 groundStation""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.quads[5].app[0].destAddresses,"""quads[0] quads[1] quads[2] quads[3] quads[4] quads[6] quads[7] sensors_1 sensors_2 sensors_3 sensors_4 sensors_5 sensors_6 sensors_7 sensors_8 sensors_9 sensors_10 sensors_11 sensors_12 sensors_13 sensors_14 sensors_15 sensors_16 sensors_17 sensors_18 sensors_19 sensors_20 groundStation""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.quads[6].app[0].destAddresses,"""quads[0] quads[1] quads[2] quads[3] quads[4] quads[5] quads[7] sensors_1 sensors_2 sensors_3 sensors_4 sensors_5 sensors_6 sensors_7 sensors_8 sensors_9 sensors_10 sensors_11 sensors_12 sensors_13 sensors_14 sensors_15 sensors_16 sensors_17 sensors_18 sensors_19 sensors_20 groundStation""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.quads[7].app[0].destAddresses,"""quads[0] quads[1] quads[2] quads[3] quads[4] quads[5] quads[6] sensors_1 sensors_2 sensors_3 sensors_4 sensors_5 sensors_6 sensors_7 sensors_8 sensors_9 sensors_10 sensors_11 sensors_12 sensors_13 sensors_14 sensors_15 sensors_16 sensors_17 sensors_18 sensors_19 sensors_20 groundStation""",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-1-20240121-15:52:45-9100,param,,,*.quads[0].app[*].startTime,"normal(1s, 6s)",,,,,,,
