run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,configname,DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,datetime,20240121-20:43:05,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,experiment,DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,iterationvars,"$numFailuresUAV1=1, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,iterationvarsf,"numFailuresUAV1=1,failureDuration=36000s-",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,measurement,"$numFailuresUAV1=1, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,network,DADCA_ACK_n20_u16_a8000m2_0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,processid,15308,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-ACK-3-20240121-20:43:05-15308,runattr,,,resultdir,results,,,,,,,
