run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,configname,DADCA_ACK_n20_u2_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,datetime,20240121-15:48:11,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,experiment,DADCA_ACK_n20_u2_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,iterationvars,"$numFailuresUAV1=1, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,iterationvarsf,"numFailuresUAV1=1,failureDuration=36000s-",,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,measurement,"$numFailuresUAV1=1, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,network,DADCA_ACK_n20_u2_a8000m2_0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,processid,20608,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,runnumber,3,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-3-20240121-15:48:11-20608,runattr,,,seedset,3,,,,,,,
