run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,configname,DADCA_ACK_n20_u4_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,datetime,20240121-15:55:14,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,experiment,DADCA_ACK_n20_u4_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,iterationvars,"$numFailuresUAV1=1, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,iterationvarsf,"numFailuresUAV1=1,failureDuration=36000s-",,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,measurement,"$numFailuresUAV1=1, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,network,DADCA_ACK_n20_u4_a8000m2_0,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,processid,21352,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,runnumber,3,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,runattr,,,seedset,3,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,itervar,,,failureDuration,36000s,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,itervar,,,numFailuresUAV1,1,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.numUAVs,4,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_1.mobility.initialLatitude,-15.83815034deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_1.mobility.initialLongitude,-47.92566586deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_2.mobility.initialLatitude,-15.80685456deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_2.mobility.initialLongitude,-47.92525401deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_3.mobility.initialLatitude,-15.78727092deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_3.mobility.initialLongitude,-47.92459616deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_4.mobility.initialLatitude,-15.82744564deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_4.mobility.initialLongitude,-47.92239968deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_5.mobility.initialLatitude,-15.82091292deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-3-20240121-15:55:14-21352,param,,,*.sensors_5.mobility.initialLongitude,-47.92391225deg,,,,,,,
