run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,configname,DADCA_ACK_n20_u2_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,datetime,20240121-15:46:08,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,experiment,DADCA_ACK_n20_u2_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,iterationvars,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,iterationvarsf,"numFailuresUAV1=1,failureDuration=3600s-",,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,measurement,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,network,DADCA_ACK_n20_u2_a8000m2_0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,processid,20608,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,runnumber,2,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,runattr,,,seedset,2,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,itervar,,,failureDuration,3600s,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,itervar,,,numFailuresUAV1,1,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.numUAVs,2,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_1.mobility.initialLatitude,-15.80691174deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_1.mobility.initialLongitude,-47.92447048deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_2.mobility.initialLatitude,-15.79617763deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_2.mobility.initialLongitude,-47.92544870deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_3.mobility.initialLatitude,-15.83230415deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_3.mobility.initialLongitude,-47.92282204deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_4.mobility.initialLatitude,-15.82788678deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_4.mobility.initialLongitude,-47.92404119deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_5.mobility.initialLatitude,-15.82269420deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_5.mobility.initialLongitude,-47.92409556deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_6.mobility.initialLatitude,-15.81111924deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_6.mobility.initialLongitude,-47.92295951deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_7.mobility.initialLatitude,-15.79175944deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_7.mobility.initialLongitude,-47.92345939deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_8.mobility.initialLatitude,-15.83600729deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_8.mobility.initialLongitude,-47.92184559deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_9.mobility.initialLatitude,-15.82521585deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_9.mobility.initialLongitude,-47.92172428deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_10.mobility.initialLatitude,-15.81787489deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_10.mobility.initialLongitude,-47.92059709deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_11.mobility.initialLatitude,-15.80297669deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_11.mobility.initialLongitude,-47.92149081deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_12.mobility.initialLatitude,-15.79889692deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_12.mobility.initialLongitude,-47.91996010deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_13.mobility.initialLatitude,-15.83508060deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_13.mobility.initialLongitude,-47.91795231deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_14.mobility.initialLatitude,-15.82880394deg,,,,,,,
DADCA_ACK_n20_u2_a8000m2_0-DADCA-2-20240121-15:46:08-20608,param,,,*.sensors_14.mobility.initialLongitude,-47.91792000deg,,,,,,,
