run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,configname,DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,datetime,20240121-16:41:03,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,experiment,DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,iterationvars,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,iterationvarsf,"numFailuresUAV1=1,failureDuration=3600s-",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,measurement,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,network,DADCA_ACK_n20_u8_a8000m2_0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,processid,30912,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,runnumber,2,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,runattr,,,seedset,2,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,itervar,,,failureDuration,3600s,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,itervar,,,numFailuresUAV1,1,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,param,,,*.numUAVs,8,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,param,,,*.sensors_1.mobility.initialLatitude,-15.81720683deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,param,,,*.sensors_1.mobility.initialLongitude,-47.92585532deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,param,,,*.sensors_2.mobility.initialLatitude,-15.80865940deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,param,,,*.sensors_2.mobility.initialLongitude,-47.92654023deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-ACK-2-20240121-16:41:03-30912,param,,,*.sensors_3.mobility.initialLatitude,-15.80527555deg,,,,,,,
