run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,configname,DADCA_ACK_n20_u16_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,datetime,20240121-16:28:27,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,experiment,DADCA_ACK_n20_u16_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,iterationvars,"$numFailuresUAV1=0, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,iterationvarsf,"numFailuresUAV1=0,failureDuration=3600s-",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,measurement,"$numFailuresUAV1=0, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,network,DADCA_ACK_n20_u16_a8000m2_0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,processid,16588,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,runnumber,0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,runattr,,,seedset,0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,itervar,,,failureDuration,3600s,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,itervar,,,numFailuresUAV1,0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,param,,,*.numUAVs,16,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,param,,,*.sensors_1.mobility.initialLatitude,-15.83657148deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-0-20240121-16:28:27-16588,param,,,*.sensors_1.mobility.initialLongitude,-47.92544139deg,,,,,,,
