run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,configname,DADCA_ACK_n20_u16_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,datetime,20240121-17:47:22,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,experiment,DADCA_ACK_n20_u16_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,iterationvars,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,iterationvarsf,"numFailuresUAV1=1,failureDuration=3600s-",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,measurement,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,network,DADCA_ACK_n20_u16_a8000m2_0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,processid,16588,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,runnumber,2,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,runattr,,,seedset,2,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,itervar,,,failureDuration,3600s,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,itervar,,,numFailuresUAV1,1,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.numUAVs,16,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_1.mobility.initialLatitude,-15.83657148deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_1.mobility.initialLongitude,-47.92544139deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_2.mobility.initialLatitude,-15.79477116deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_2.mobility.initialLongitude,-47.92600976deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_3.mobility.initialLatitude,-15.78827666deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_3.mobility.initialLongitude,-47.92558939deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_4.mobility.initialLatitude,-15.83305618deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_4.mobility.initialLongitude,-47.92410632deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_5.mobility.initialLatitude,-15.82838182deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_5.mobility.initialLongitude,-47.92385878deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_6.mobility.initialLatitude,-15.81767720deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_6.mobility.initialLongitude,-47.92410662deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_7.mobility.initialLatitude,-15.80971716deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_7.mobility.initialLongitude,-47.92212362deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_8.mobility.initialLatitude,-15.80436731deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_8.mobility.initialLongitude,-47.92428132deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_9.mobility.initialLatitude,-15.79830799deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_9.mobility.initialLongitude,-47.92311975deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_10.mobility.initialLatitude,-15.79325655deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_10.mobility.initialLongitude,-47.92292808deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_11.mobility.initialLatitude,-15.78765498deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_11.mobility.initialLongitude,-47.92229372deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_12.mobility.initialLatitude,-15.83750302deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_12.mobility.initialLongitude,-47.92093694deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_13.mobility.initialLatitude,-15.83238862deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_13.mobility.initialLongitude,-47.92066347deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_14.mobility.initialLatitude,-15.82876404deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_14.mobility.initialLongitude,-47.91986635deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_15.mobility.initialLatitude,-15.82350101deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_15.mobility.initialLongitude,-47.92183799deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_16.mobility.initialLatitude,-15.81862678deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_16.mobility.initialLongitude,-47.92002278deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_17.mobility.initialLatitude,-15.80555210deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_17.mobility.initialLongitude,-47.92006898deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_18.mobility.initialLatitude,-15.80166457deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_18.mobility.initialLongitude,-47.92062775deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_19.mobility.initialLatitude,-15.79141271deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_19.mobility.initialLongitude,-47.92025672deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_20.mobility.initialLatitude,-15.81395683deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors_20.mobility.initialLongitude,-47.91801768deg,,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.sensors*.app[0].destAddresses,"""quads[0] quads[1] quads[2] quads[3] quads[4] quads[5] quads[6] quads[7] quads[8] quads[9] quads[10] quads[11] quads[12] quads[13] quads[14] quads[15]""",,,,,,,
DADCA_ACK_n20_u16_a8000m2_0-DADCA-2-20240121-17:47:22-16588,param,,,*.groundStation.app[0].destAddresses,"""quads[0] quads[1] quads[2] quads[3] quads[4] quads[5] quads[6] quads[7] quads[8] quads[9] quads[10] quads[11] quads[12] quads[13] quads[14] quads[15]""",,,,,,,
