run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,configname,DADCA_ACK_n20_u8_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,datetime,20240121-16:00:50,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,experiment,DADCA_ACK_n20_u8_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,iterationvars,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,iterationvarsf,"numFailuresUAV1=1,failureDuration=3600s-",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,measurement,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,network,DADCA_ACK_n20_u8_a8000m2_0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,processid,9100,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,runnumber,2,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,runattr,,,seedset,2,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,itervar,,,failureDuration,3600s,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,itervar,,,numFailuresUAV1,1,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,param,,,*.numUAVs,8,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,param,,,*.sensors_1.mobility.initialLatitude,-15.81720683deg,,,,,,,
DADCA_ACK_n20_u8_a8000m2_0-DADCA-2-20240121-16:00:50-9100,param,,,*.sensors_1.mobility.initialLongitude,-47.92585532deg,,,,,,,
