run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,configname,DADCA_ACK_n20_u3_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,datetime,20240121-15:46:03,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,experiment,DADCA_ACK_n20_u3_a8000m2_0-DADCA,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,iterationvars,"$numFailuresUAV1=0, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,iterationvarsf,"numFailuresUAV1=0,failureDuration=36000s-",,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,measurement,"$numFailuresUAV1=0, $failureDuration=36000s",,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,network,DADCA_ACK_n20_u3_a8000m2_0,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,processid,11388,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,runnumber,1,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,runattr,,,seedset,1,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,itervar,,,failureDuration,36000s,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,itervar,,,numFailuresUAV1,0,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.numUAVs,3,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_1.mobility.initialLatitude,-15.83285153deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_1.mobility.initialLongitude,-47.92624354deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_2.mobility.initialLatitude,-15.82951088deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_2.mobility.initialLongitude,-47.92562168deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_3.mobility.initialLatitude,-15.82608037deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_3.mobility.initialLongitude,-47.92586905deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_4.mobility.initialLatitude,-15.82294576deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_4.mobility.initialLongitude,-47.92436346deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_5.mobility.initialLatitude,-15.80645108deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_5.mobility.initialLongitude,-47.92553667deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_6.mobility.initialLatitude,-15.80335756deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_6.mobility.initialLongitude,-47.92649503deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_7.mobility.initialLatitude,-15.79572344deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_7.mobility.initialLongitude,-47.92520905deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_8.mobility.initialLatitude,-15.83047165deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_8.mobility.initialLongitude,-47.92222318deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_9.mobility.initialLatitude,-15.82695204deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_9.mobility.initialLongitude,-47.92249821deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_10.mobility.initialLatitude,-15.81766373deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_10.mobility.initialLongitude,-47.92240142deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_11.mobility.initialLatitude,-15.79951292deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_11.mobility.initialLongitude,-47.92201974deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_12.mobility.initialLatitude,-15.78967615deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_12.mobility.initialLongitude,-47.92427976deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_13.mobility.initialLatitude,-15.78640422deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_13.mobility.initialLongitude,-47.92428214deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_14.mobility.initialLatitude,-15.81042211deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_14.mobility.initialLongitude,-47.92148143deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_15.mobility.initialLatitude,-15.79609114deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_15.mobility.initialLongitude,-47.92029103deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_16.mobility.initialLatitude,-15.78655877deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_16.mobility.initialLongitude,-47.92068446deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_17.mobility.initialLatitude,-15.83517897deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_17.mobility.initialLongitude,-47.91754601deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_18.mobility.initialLatitude,-15.83074675deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_18.mobility.initialLongitude,-47.91894610deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_19.mobility.initialLatitude,-15.82577221deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_19.mobility.initialLongitude,-47.91945870deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_20.mobility.initialLatitude,-15.81283622deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors_20.mobility.initialLongitude,-47.91869909deg,,,,,,,
DADCA_ACK_n20_u3_a8000m2_0-DADCA-1-20240121-15:46:03-11388,param,,,*.sensors*.app[0].destAddresses,"""quads[0] quads[1] quads[2]""",,,,,,,
